iter	RMSE
170	4.954346127
171	4.953968546
172	4.95282031
173	4.951776219
174	4.951196136
175	4.950460402
176	4.948917249
177	4.947870657
178	4.947205355
179	4.946415615
180	4.945736532
181	4.944763895
182	4.94400225
183	4.94360705
184	4.942473301
185	4.941923607
186	4.941154105
187	4.940335826
188	4.93969337
189	4.939350474
190	4.938466124
191	4.937424715
192	4.9369066
193	4.936302703
194	4.935820643
195	4.935123666
196	4.934101634
197	4.933027219
198	4.932351768
199	4.93205734
200	4.931202472
201	4.930340566
202	4.929977093
203	4.929086706
204	4.928264163
205	4.927737831
206	4.926908491
207	4.925881598
208	4.925414958
209	4.92478577
210	4.923785401
211	4.923334856
212	4.923007193
213	4.922207391
214	4.921685015
215	4.921104694
216	4.920615424
217	4.920025514
218	4.918903463
219	4.918251102
220	4.917983227
221	4.91719449
222	4.916825969
223	4.91604115
224	4.915614019
225	4.915135026
226	4.914458297
227	4.913581033
228	4.913051144
229	4.912281887
230	4.911324885
231	4.910863818
232	4.910337915
233	4.909784549
234	4.909266086
235	4.908582931
236	4.908057923
237	4.907522848
238	4.907197245
239	4.906663798
240	4.905928238
241	4.905077085
242	4.904700826
243	4.904200893
244	4.903417831
245	4.902879809
246	4.902329164
247	4.901598142
248	4.900958112
249	4.900599909
250	4.899935349
251	4.899484233
252	4.898605249
253	4.897961865
254	4.897348245
255	4.896382985
256	4.895882936
257	4.895591065
258	4.894842881
259	4.894418303
260	4.894083128
261	4.893382122
262	4.892786498
263	4.892211147
264	4.891692157
265	4.891207844
266	4.890537079
267	4.890142894
268	4.889320743
269	4.88908837
270	4.888539261
271	4.887602017
272	4.887027628
273	4.886424318
274	4.886306451
275	4.885557366
276	4.88526915
277	4.884707788
278	4.884126571
279	4.883904932
280	4.883486092
281	4.88314882
282	4.882536619
283	4.881699487
284	4.881145115
285	4.880527474
286	4.880163826
287	4.879904945
288	4.879237341
289	4.878559825
290	4.877979653
291	4.877671432
292	4.87691371
293	4.87644951
294	4.876060373
295	4.875764358
296	4.875100257
297	4.874111459
298	4.873779602
299	4.87346887
300	4.873092114
301	4.872299739
302	4.871484027
303	4.870880129
304	4.870280729
305	4.86966331
306	4.869610421
307	4.869142106
308	4.868668808
309	4.868400366
310	4.867941421
311	4.867673791
312	4.867462219
313	4.866876076
314	4.866141451
315	4.865514878
316	4.864870053
317	4.864562746
318	4.864091765
319	4.86376366
320	4.863114137
321	4.862659022
322	4.862241063
323	4.861772127
324	4.861210342
325	4.860640518
326	4.860320223
327	4.859949867
328	4.859280362
329	4.858631794
330	4.858301912
331	4.857780424
332	4.857072754
333	4.856655682
334	4.856044909
335	4.855354127
336	4.855074192
337	4.854408118
338	4.854002432
339	4.853815518
340	4.85329774
341	4.852674054
342	4.852201935
343	4.851867593
344	4.851475424
345	4.850961116
346	4.850662029
347	4.849809887
348	4.849325563
349	4.848925441
350	4.848535839
351	4.847924017
352	4.84738439
353	4.846906305
354	4.846466991
355	4.846096158
356	4.845221481
357	4.844785443
358	4.844307844
359	4.843930153
360	4.843683904
361	4.843287336
362	4.843029094
363	4.842583074
364	4.842011481
365	4.841617017
366	4.841215873
367	4.8409158
368	4.840701434
369	4.840063023
370	4.839677646
371	4.839218268
372	4.838867461
373	4.838466085
374	4.838118307
375	4.83764697
376	4.837138118
377	4.836872041
378	4.836523858
379	4.835966567
380	4.835600248
381	4.835183652
382	4.834911692
383	4.834588623
384	4.834073543
385	4.833912176
386	4.833369143
387	4.832957511
388	4.832700842
389	4.832234134
390	4.831774779
391	4.831452856
392	4.831096541
393	4.830648245
394	4.830321704
395	4.829716093
396	4.829147547
397	4.828796383
398	4.828355262
399	4.828079481
400	4.827701835
401	4.827198831
402	4.826934184
403	4.826714791
404	4.826182881
405	4.82541514
406	4.825155769
407	4.82474426
408	4.824204615
409	4.823905517
410	4.823338394
411	4.822952712
412	4.822644687
413	4.822168352
414	4.821724428
415	4.82141621
416	4.821047744
417	4.820820061
418	4.820351012
419	4.819990433
420	4.819622828
421	4.819114208
422	4.818521015
423	4.817852294
424	4.817353404
425	4.817109889
426	4.816639182
427	4.81637229
428	4.816003293
429	4.815441819
430	4.815030823
431	4.814477127
432	4.814015915
433	4.813637587
434	4.813259527
435	4.812973029
436	4.812765298
437	4.812268917
438	4.811772512
439	4.811529304
440	4.811050462
441	4.810340209
442	4.809858721
443	4.80920429
444	4.808797434
445	4.808354196
446	4.807998226
447	4.80732267
448	4.807005597
449	4.806425156
450	4.806200307
451	4.805964008
452	4.805424368
453	4.805013054
454	4.804674093
455	4.804344793
456	4.804032028
457	4.80372947
458	4.803491101
459	4.803179135
460	4.802707873
461	4.802448531
462	4.801989861
463	4.80160148
464	4.801294149
465	4.800877566
466	4.800452659
467	4.799665841
468	4.798985339
469	4.798769816
470	4.798350338
471	4.798008797
472	4.7977042
473	4.797383309
474	4.796907144
475	4.796441266
476	4.796046273
477	4.795695305
478	4.795599692
479	4.795382235
480	4.795205407
481	4.794934301
482	4.794555697
483	4.794296784
484	4.793759427
485	4.793321631
486	4.792864193
487	4.792611939
488	4.792325222
489	4.791999699
490	4.79172467
491	4.79134262
492	4.79100254
493	4.790679425
494	4.790391492
495	4.790126545
496	4.789653243
497	4.789236688
498	4.788606454
499	4.788291735
500	4.788092136
501	4.787821404
502	4.787594952
503	4.787280242
504	4.786936191
505	4.786629293
506	4.786401466
507	4.785992419
508	4.785842438
509	4.785581936
510	4.785365664
511	4.78506156
512	4.784554471
513	4.78434407
514	4.78406055
515	4.783649504
516	4.783208274
517	4.782946973
518	4.782698435
519	4.782244124
520	4.78190624
521	4.781422074
522	4.781014346
523	4.780641581
524	4.780303016
525	4.779624954
526	4.779433027
527	4.779175756
528	4.778712702
529	4.778434068
530	4.778001827
531	4.777599961
532	4.777222019
533	4.776845028
534	4.77660826
535	4.776149785
536	4.775809171
537	4.775518367
538	4.775393518
539	4.775045082
540	4.774690679
541	4.774475533
542	4.774131725
543	4.773787706
544	4.773573411
545	4.773067494
546	4.772901038
547	4.772304828
548	4.771964751
549	4.771469648
550	4.771346244
551	4.771124227
552	4.770801544
553	4.770637097
554	4.770260402
555	4.769777391
556	4.769164651
557	4.768865459
558	4.768517518
559	4.768290681
560	4.767804559
561	4.767526181
562	4.767254844
563	4.7669444
564	4.7666621
565	4.765964736
566	4.765584382
567	4.765279488
568	4.764775
569	4.764400339
570	4.7641376
571	4.763836813
572	4.76339367
573	4.762734062
574	4.762036442
575	4.761707666
576	4.761218711
577	4.760702131
578	4.760424084
579	4.760100858
580	4.759793406
581	4.759437388
582	4.759173002
583	4.758852711
584	4.758468297
585	4.7582943
586	4.757864474
587	4.757657215
588	4.757439695
589	4.757175968
590	4.756765964
591	4.756694234
592	4.756489806
593	4.756143958
594	4.75594813
595	4.755388898
596	4.754746026
597	4.754409992
598	4.754136766
599	4.75392964
600	4.753621507
601	4.753304782
602	4.752935173
603	4.752722618
604	4.752490372
605	4.752120632
606	4.751782651
607	4.751475597
608	4.751232783
609	4.750877524
610	4.750752209
611	4.750335657
612	4.749855854
613	4.749393503
614	4.748911941
615	4.748591083
616	4.748112806
617	4.747738373
618	4.747435213
619	4.747276676
620	4.74709673
621	4.746821259
622	4.746431172
623	4.746198985
624	4.745763583
625	4.745408869
626	4.745104235
627	4.744764561
628	4.744369844
629	4.744131138
630	4.743960562
631	4.743782455
632	4.743365294
633	4.743233177
634	4.743056993
635	4.742741204
636	4.74246392
637	4.741977858
638	4.741829216
639	4.74148955
640	4.741210526
641	4.740757402
642	4.740613023
643	4.740142538
644	4.739865583
645	4.739431211
646	4.739214891
647	4.738713403
648	4.738320952
649	4.738158412
650	4.737920354
651	4.73754164
652	4.737090783
653	4.736848171
654	4.73651438
655	4.736237966
656	4.735921141
657	4.735575405
658	4.735198391
659	4.73483894
660	4.734494904
661	4.734318271
662	4.734082622
663	4.733782993
664	4.733498049
665	4.733257273
666	4.732932171
667	4.732601944
668	4.732326171
669	4.732058172
670	4.731807464
671	4.731375133
672	4.730962627
673	4.730738225
674	4.730100679
675	4.729945706
676	4.729822807
677	4.72919531
678	4.728918871
679	4.728614078
680	4.728346696
681	4.728182156
682	4.727514265
683	4.727207356
684	4.727007958
685	4.72672296
686	4.726513156
687	4.726259687
688	4.726054296
689	4.725581713
690	4.725221525
691	4.724848061
692	4.72445347
693	4.724234466
694	4.724129965
695	4.723916985
696	4.723583505
697	4.723226704
698	4.72269333
699	4.722348173
700	4.722206427
701	4.721959887
702	4.721678234
703	4.721444592
704	4.72092678
705	4.720690934
706	4.720377849
707	4.720091108
708	4.719852523
709	4.719734543
710	4.719423897
711	4.719250084
712	4.718932412
713	4.718608564
714	4.718322016
715	4.717992607
716	4.717669086
717	4.717405841
718	4.717253291
719	4.716670115
720	4.716281788
721	4.716136527
722	4.715922354
723	4.715593399
724	4.715390353
725	4.714958423
726	4.714567
727	4.714132172
728	4.713828023
729	4.713656036
730	4.713423803
731	4.713239746
732	4.712969744
733	4.712784912
734	4.712557225
735	4.712312872
736	4.711999417
737	4.711749039
738	4.711497073
739	4.711320265
740	4.711055339
741	4.710944875
742	4.710693569
743	4.710520598
744	4.710359587
745	4.710045756
746	4.709425316
747	4.709209722
748	4.709020077
749	4.708630066
750	4.708273505
751	4.707955574
752	4.707708505
753	4.707462584
754	4.707022469
755	4.706752397
756	4.706527075
757	4.706227318
758	4.705933711
759	4.705736006
760	4.705316345
761	4.705069717
762	4.70491159
763	4.704678293
764	4.704461916
765	4.704267858
766	4.704062626
767	4.703731702
768	4.70347178
769	4.703124616
770	4.702844567
771	4.70263718
772	4.702393562
773	4.702208474
774	4.701842876
775	4.701379944
776	4.701273983
777	4.700910185
778	4.700433247
779	4.700053892
780	4.699870265
781	4.699642124
782	4.699408761
783	4.698879202
784	4.698608338
785	4.698377564
786	4.698136143
787	4.697671105
788	4.697387988
789	4.6970962
790	4.696888868
791	4.696621777
792	4.696297158
793	4.696107787
794	4.695951105
795	4.695677511
796	4.695396935
797	4.695129805
798	4.694971169
799	4.69440503
800	4.694165257
801	4.693861498
802	4.693450333
803	4.693262
804	4.693155524
805	4.69288626
806	4.69259207
807	4.692265131
808	4.691980834
809	4.691518215
810	4.691100764
811	4.691056307
812	4.69058567
813	4.690222196
814	4.689977875
815	4.689852083
816	4.689731096
817	4.689537572
818	4.689420181
819	4.689182758
820	4.688737121
821	4.688614587
822	4.688333522
823	4.687933562
824	4.687620162
825	4.687258375
826	4.687010488
827	4.686692577
828	4.686496346
829	4.686071172
830	4.685727131
831	4.685464973
832	4.685241007
833	4.685004176
834	4.684853495
835	4.684697486
836	4.684511404
837	4.684233952
838	4.684007969
839	4.683655197
840	4.683178395
841	4.68297663
842	4.682572143
843	4.682332731
844	4.682108562
845	4.681985497
846	4.681771166
847	4.681605989
848	4.68141701
849	4.681074803
850	4.680836524
851	4.680709818
852	4.680378503
853	4.6801278
854	4.679890878
855	4.679623211
856	4.679371398
857	4.679084168
858	4.678761952
859	4.678459751
860	4.678071099
861	4.677717387
862	4.677435775
863	4.677303293
864	4.677104311
865	4.67688535
866	4.676723179
867	4.676332082
868	4.675996736
869	4.675705634
870	4.675460794
871	4.675186468
872	4.675041627
873	4.674792767
874	4.674646703
875	4.674424746
876	4.674164009
877	4.673999189
878	4.673747139
879	4.673420279
880	4.673212026
881	4.673053965
882	4.672848983
883	4.672582706
884	4.672351527
885	4.671916675
886	4.671695271
887	4.671568055
888	4.67145176
889	4.671126278
890	4.670989185
891	4.670842437
892	4.6706343
893	4.670308113
894	4.670221987
895	4.669877103
896	4.669551418
897	4.669415817
898	4.669257653
899	4.669007424
900	4.668761361
901	4.668288997
902	4.668110747
903	4.667708526
904	4.667445435
905	4.667057407
906	4.666621257
907	4.666453056
908	4.666152411
909	4.665814744
910	4.665597404
911	4.665328787
912	4.665120747
913	4.664926241
914	4.664720571
915	4.66455714
916	4.664426679
917	4.66423163
918	4.663973841
919	4.663550312
920	4.663417755
921	4.663274682
922	4.663078522
923	4.662785717
924	4.662393613
925	4.662122626
926	4.661911
927	4.661700803
928	4.661508208
929	4.66127739
930	4.660919924
931	4.660675855
932	4.660247888
933	4.659804473
934	4.659449789
935	4.65922837
936	4.659046397
937	4.65886168
938	4.658585077
939	4.658277182
940	4.658183796
941	4.657942125
942	4.657688033
943	4.657366831
944	4.657029453
945	4.656741006
946	4.65655534
947	4.656304869
948	4.655998351
949	4.655631498
950	4.655474544
951	4.655318453
952	4.65502436
953	4.654764962
954	4.654570462
955	4.654449403
956	4.654317461
957	4.654187879
958	4.65400122
959	4.653753899
960	4.653524008
961	4.653394812
962	4.653190894
963	4.652851079
964	4.65260225
965	4.652385265
966	4.652128398
967	4.651906433
968	4.651605265
969	4.651247797
970	4.651062993
971	4.650904004
972	4.650756808
973	4.650448457
974	4.650186915
975	4.649917469
976	4.649775498
977	4.649583455
978	4.649307468
979	4.648947756
980	4.648560668
981	4.648277863
982	4.648106331
983	4.647885093
984	4.647667067
985	4.647520574
986	4.647364651
987	4.647099056
988	4.646914372
989	4.646749333
990	4.646483688
991	4.646374612
992	4.646226729
993	4.645946404
994	4.645712018
995	4.645463702
996	4.645178888
997	4.645046772
998	4.64467378
999	4.64449717
